Time_of_Day,Mean_Flow_cfs,Lower_95_CI,Upper_95_CI
19:10:00,0.605955636,0.58540246,0.62707298
19:20:00,0.600274576,0.578938782,0.620655703
19:30:00,0.598345254,0.580244436,0.617532224
19:40:00,0.600777712,0.581482485,0.619660032
19:50:00,0.595623008,0.574575492,0.615847523
20:00:00,0.593195424,0.573543225,0.613886845
20:10:00,0.598180254,0.576166135,0.61981568
20:20:00,0.601923686,0.579173268,0.626847941
20:30:00,0.6060775,0.583324454,0.627297969
20:40:00,0.606350847,0.58454359,0.628069936
20:50:00,0.611896483,0.589776128,0.633537138
21:00:00,0.609930551,0.58647604,0.632217141
21:10:00,0.613616271,0.590664939,0.636747943
21:20:00,0.615010466,0.591522647,0.638304341
21:30:00,0.620527797,0.598577603,0.641599168
21:40:00,0.617942458,0.595788871,0.640038822
21:50:00,0.616563771,0.593939194,0.637318013
22:00:00,0.615077754,0.593611747,0.636999204
22:10:00,0.613619407,0.590997383,0.636222883
22:20:00,0.617896864,0.593095432,0.640101818
22:30:00,0.614586186,0.591297525,0.637889597
22:40:00,0.618465763,0.593681202,0.64039506
22:50:00,0.614870508,0.591032983,0.638230898
23:00:00,0.613719025,0.58960807,0.636816305
23:10:00,0.610813475,0.587838763,0.632676784
23:20:00,0.6051675,0.582214869,0.626707818
23:30:00,0.599360254,0.5776891,0.621309811
23:40:00,0.598757458,0.576850333,0.619417761
23:50:00,0.588647415,0.56821349,0.609364757
